id,categoria,descripcion,imagen,marca,nombre,precio
1,PERIFÉRICOS,"Altavoces Bluetooth de alta calidad",altavoces.jpg,Logitech,"Logitech Z607",89.99
2,TELEVISORES,"Monitor 24 pulgadas 144Hz",monitor.jpg,Samsung,"Samsung Odyssey G5",299.99
3,ORDENADORES,"PC de sobremesa con procesador i7 y 16GB de RAM",ordenador.jpg,HP,"HP Pavilion Desktop",749.00
4,PERIFÉRICOS,"Teclado mecánico RGB",teclado.jpg,Corsair,"Corsair K95",169.99
5,COMPONENTES,"Memoria RAM DDR4 16GB",ram.jpg,Corsair,"Corsair Vengeance LPX 16GB",79.99
6,PERIFÉRICOS,"Ratón inalámbrico para gaming",raton.jpg,Logitech,"Ratón Gaming",29.99
7,TELEVISORES,"Televisor Full HD 42"",televisor42.jpg,Samsung,"Televisor LED",299.99
8,COMPONENTES,"Placa base compatible con Intel",placa_base.jpg,ASUS,"Placa Base Intel",89.99
9,ORDENADORES,"Ordenador de sobremesa 16GB RAM",ordenador16gb.jpg,HP,"PC Sobremesa",799.99
20,COMPONENTES,"Tarjeta gráfica NVIDIA RTX 4060 con 8GB de VRAM",rtx4060.jpg,NVIDIA,"NVIDIA GeForce RTX 4060 8GB",319.99
21,COMPONENTES,"SSD NVMe de alta velocidad 1TB",ssd1tb.jpg,Samsung,"Samsung 980 PRO 1TB NVMe",129.99
22,PERIFÉRICOS,"Teclado mecánico RGB con switches rojos",teclado_rgb.jpg,Corsair,"Corsair K70 RGB MK.2",109.99
23,PERIFÉRICOS,"Ratón gaming ergonómico con sensor óptico",raton_gaming.jpg,Logitech,"Logitech G502 HERO",59.99
24,TELEVISORES,"Smart TV 4K UHD de 55 pulgadas",tv_55_uhd.jpg,LG,"LG Smart TV 55" 4K UHD",479.99
25,TELEVISORES,"Televisor LED de 32" con HDMI",tv_32_led.jpg,Samsung,"Samsung 32" HD LED TV",189.99
26,ORDENADORES,"Ordenador portátil con procesador Intel i7",portatil_i7.jpg,HP,"HP Pavilion 15.6" Intel i7, 16GB RAM",749.99
27,ORDENADORES,"PC de sobremesa con Ryzen 5 y 16GB RAM",pc_ryzen.jpg,Acer,"Acer Aspire TC Ryzen 5 5600G",649.99
28,SONIDO,"Auriculares inalámbricos con cancelación de ruido",auriculares_bt.jpg,Sony,"Sony WH-1000XM4 Wireless",299.99
29,SONIDO,"Barra de sonido con subwoofer integrado",barra_sonido.jpg,JBL,"JBL Bar 2.1 Deep Bass",229.99
30,COMPONENTES,"Placa base ATX compatible con Ryzen 7000",placa_base.jpg,MSI,"MSI B650 Tomahawk WiFi",189.99
31,COMPONENTES,"Memoria RAM DDR5 32GB (2x16GB) 6000MHz",ram_ddr5.jpg,Kingston,"Kingston Fury Beast DDR5 32GB 6000MHz",159.99
32,PERIFÉRICOS,"Monitor gaming curvo de 27 pulgadas 165Hz",monitor_curvo.jpg,AOC,"AOC C27G2U 27" 165Hz Curvo",229.99
33,PERIFÉRICOS,"Webcam Full HD con micrófono integrado",webcam.jpg,Logitech,"Logitech C920 HD Pro",89.99
34,TELEVISORES,"TV OLED 4K de 65 pulgadas con Dolby Vision",oled_tv.jpg,Philips,"Philips 65OLED707/12 65" OLED 4K",1299.99
35,TELEVISORES,"Smart TV 43" con Android TV",smart_tv_43.jpg,Xiaomi,"Xiaomi Mi TV P1 43"",349.99
36,ORDENADORES,"Mini PC con Intel N100 y 8GB RAM",mini_pc.jpg,MINISFORUM,"MINISFORUM UN100 Intel N100 Mini PC",259.99
37,ORDENADORES,"Portátil ultraligero con pantalla táctil",portatil_ultraligero.jpg,ASUS,"ASUS Zenbook 14 OLED Touch",999.99
38,SONIDO,"Altavoz portátil Bluetooth resistente al agua",altavoz_bt.jpg,"Ultimate Ears","UE Boom 3",129.99
39,SONIDO,"Sistema de sonido envolvente 5.1 con subwoofer",sonido_5_1.jpg,Logitech,"Logitech Z607 5.1 Surround Sound",149.99
